system:index,LST_C,Latitude,Longitude,NDVI,.geo
00000000000000000092_0,30.45285714285717,12.809841204251759,80.21501837968846,0.20757139,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.21506329545268,12.805484375123779]}"
00000000000000000499_0,32.33333333333337,12.809841204251759,80.10012385484958,0.13748148,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.09828230851714,12.805484375123779]}"
00000000000000000998_0,32.65857142857146,12.810020867308582,79.97382072590237,0.36376116,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.97251816874041,12.814467527964975]}"
00000000000000000267_0,32.31571428571431,12.810200530365407,79.9612443119247,0.31207004,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.96353501589921,12.814467527964975]}"
00000000000000001023_0,30.660000000000025,12.81038019342223,80.10802902934984,0.4648682,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.10726546135834,12.814467527964975]}"
00000000000000000072_0,30.940000000000055,12.810559856479054,79.9116573082413,0.18082273,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.90963609885203,12.814467527964975]}"
000000000000000008e2_0,32.486666666666736,12.810559856479054,79.93600165244094,0.22799511,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.93658555737562,12.814467527964975]}"
00000000000000000d2d_0,31.32666666666671,12.810559856479054,80.22498967934219,0.3000594,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.22404644829388,12.814467527964975]}"
00000000000000001286_0,32.104285714285766,12.810559856479054,79.99340399909617,0.3301855,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.9904844744228,12.814467527964975]}"
00000000000000000f92_0,32.49000000000001,12.810649688007466,79.97912078607868,0.23076923,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.9815013215816,12.814467527964975]}"
00000000000000000467_0,30.850000000000023,12.810919182592702,80.18797908963647,0.01640689,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.18811383692909,12.814467527964975]}"
00000000000000000486_0,31.916666666666686,12.811188677177938,79.86449575582503,0.4446077,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.86472033464607,12.814467527964975]}"
00000000000000000605_0,30.401428571428596,12.811188677177938,80.15276513049898,0.27272728,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.1521812255643,12.814467527964975]}"
00000000000000000a1e_0,31.250000000000057,12.811188677177938,80.22894226659231,0.10122699,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.23302960113507,12.814467527964975]}"
000000000000000009b8_0,30.844285714285775,12.811458171763174,80.07029978741681,0.26359543,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.07133284999355,12.814467527964975]}"
00000000000000000b26_0,30.730000000000018,12.811548003291586,80.21681501025671,0.26715946,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.21506329545268,12.814467527964975]}"
0000000000000000037b_0,31.57000000000005,12.811637834819997,80.00849569586939,0.35546613,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.00845078010519,12.814467527964975]}"
00000000000000000b95_0,31.07000000000005,12.811727666348409,80.2010944927846,0.25919685,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.19709698977029,12.814467527964975]}"
